NumberOfVertices:	397
0	Room
1	Indoor
2	None
3	Stair
4	Stair
5	Stair
6	None
7	Stair
8	Outdoor
9	None
10	Stair
11	None
12	Room
13	None
14	Toilets
15	None
16	None
17	Room
18	None
19	None
20	None
21	None
22	Stair
23	First Aid/AED
24	None
25	None
26	None
27	Stair
28	None
29	Toilets
30	Room
31	Disabled Toilets
32	Room
33	Stair
34	None
35	None
36	Stair
37	Indoor
38	Indoor
39	Room
40	Indoor
41	None
42	None
43	None
44	Stair
45	None
46	None
47	Indoor
48	Room
49	Stair
50	None
51	None
52	Stair
53	None
54	None
55	None
56	None
57	Room
58	Office
59	None
60	None
61	Stair
62	None
63	None
64	Stair
65	None
66	Room
67	None
68	None
69	None
70	None
71	None
72	Elevator
73	Indoor
74	Elevator
75	None
76	Room
77	None
78	None
79	Stair
80	Room
81	None
82	Stair
83	None
84	Outdoor
85	Room
86	Stair
87	None
88	Room
89	None
90	Room
91	None
92	None
93	Room
94	None
95	None
96	None
97	Room
98	Room
99	None
100	Room
101	None
102	None
103	Room
104	Room
105	Room
106	None
107	None
108	Room
109	Room
110	None
111	Room
112	None
113	None
114	Room
115	Room
116	None
117	Room
118	None
119	None
120	Room
121	Room
122	Room
123	Room
124	None
125	None
126	Room
127	Room
128	Room
129	None
130	None
131	None
132	Elevator
133	None
134	Room
135	None
136	Room
137	None
138	None
139	None
140	Room
141	None
142	Room
143	None
144	Room
145	None
146	Room
147	Room
148	None
149	None
150	Room
151	Room
152	None
153	None
154	Room
155	None
156	Room
157	Room
158	Room
159	None
160	None
161	Room
162	Room
163	Room
164	Room
165	None
166	None
167	None
168	Room
169	Room
170	None
171	Room
172	None
173	Elevator
174	None
175	Room
176	Stair
177	Room
178	None
179	None
180	None
181	None
182	Room
183	None
184	None
185	None
186	None
187	None
188	None
189	Stair
190	Room
191	None
192	Room
193	None
194	Room
195	Room
196	None
197	Stair
198	Room
199	Room
200	None
201	Room
202	None
203	Room
204	Room
205	Room
206	None
207	None
208	Room
209	Room
210	None
211	Room
212	Room
213	None
214	Room
215	Stair
216	Room
217	Room
218	Room
219	None
220	None
221	Stair
222	Room
223	Room
224	None
225	None
226	None
227	Elevator
228	Elevator
229	None
230	None
231	Room
232	Stair
233	Room
234	Room
235	Room
236	None
237	None
238	Room
239	None
240	Room
241	Room
242	None
243	None
244	Room
245	Room
246	Room
247	Room
248	None
249	None
250	None
251	Room
252	None
253	None
254	Room
255	Room
256	Room
257	None
258	None
259	Room
260	None
261	Elevator
262	Room
263	Room
264	None
265	Stair
266	None
267	None
268	Room
269	Room
270	Room
271	None
272	None
273	Room
274	None
275	Room
276	None
277	Office
278	None
279	Room
280	Office
281	None
282	Office
283	None
284	Office
285	Office
286	Office
287	None
288	Office
289	Office
290	Office
291	None
292	Office
293	Toilets
294	Office
295	Office
296	Office
297	None
298	Office
299	Office
300	None
301	Office
302	None
303	None
304	Office
305	Office
306	Office
307	None
308	None
309	Office
310	Stair
311	Office
312	None
313	Elevator
314	Office
315	Office
316	None
317	Office
318	Office
319	Office
320	None
321	Room
322	Office
323	None
324	Office
325	None
326	Office
327	Office
328	Office
329	None
330	Office
331	Office
332	Office
333	Office
334	Office
335	None
336	Office
337	Office
338	Office
339	Office
340	None
341	Office
342	Office
343	None
344	None
345	Elevator
346	Stair
347	Room
348	None
349	Room
350	Room
351	None
352	None
353	None
354	Toilets
355	None
356	Room
357	None
358	Room
359	None
360	None
361	Room
362	None
363	None
364	Toilets
365	Room
366	None
367	Room
368	None
369	Room
370	None
371	Room
372	Room
373	None
374	Room
375	Room
376	Room
377	None
378	Room
379	None
380	Room
381	None
382	Room
383	None
384	None
385	None
386	Room
387	None
388	Room
389	None
390	Room
391	None
392	Room
393	None
394	None
395	Toilets
396	None
