# NaN -110
# X, Y, HEADING, c0:8a:de:62:e6:0c, ac:67:06:5d:6c:38, 74:91:1a:ab:19:18, c0:c5:20:95:3e:2c, 74:91:1a:eb:19:18, ac:67:06:9d:6c:38, c0:8a:de:62:5b:48, c0:c5:20:d5:3e:28, ac:67:06:1d:6c:38, c4:10:8a:95:f3:28, c8:d7:19:05:a5:a5, 74:91:1a:27:e2:58, 74:91:1a:e7:e2:58, ac:67:06:dd:6c:3c, c0:8a:de:22:e6:0c, ac:67:06:1d:6c:3c, ac:67:06:5d:6c:3c, ac:67:06:9d:6c:3c, 74:91:1a:a7:e2:58, c4:10:8a:d5:f3:28, 74:91:1a:67:e2:58, c0:8a:de:e2:5b:48, c0:c5:20:55:3e:28, c0:8a:de:22:e6:08, ac:67:06:dd:6c:38, c4:10:8a:15:f3:28, c4:10:8a:55:f3:28, c0:8a:de:a2:5b:48, c0:c5:20:15:3e:28, c0:c5:20:95:3e:28, 74:91:1a:e7:e2:5c, c0:8a:de:a2:e6:0c, c0:8a:de:e2:e6:0c, c0:8a:de:22:5b:48, 74:91:1a:27:e2:5c, 74:91:1a:a7:e2:5c, c0:8a:de:e2:e6:08, c0:c5:20:15:3e:2c, c0:c5:20:55:3e:2c, c0:8a:de:a2:e6:08, c0:8a:de:9f:50:58, c0:8a:de:62:e6:08, c0:8a:de:df:50:58, 74:91:1a:67:e2:5c, c0:c5:20:d5:3e:2c, 74:91:1a:2b:19:18, 74:91:1a:6b:19:18, c0:8a:de:a2:52:c8, c4:10:8a:d5:f3:2c, c0:8a:de:62:52:c8, c0:8a:de:22:52:c8, c0:8a:de:1f:50:58, c4:10:8a:95:f3:2c, c4:10:8a:55:f3:2c, c4:10:8a:15:f3:2c, c0:8a:de:e2:52:c8, c4:10:8a:15:de:f8, 90:72:40:1a:9a:f4, 02:25:25:ee:36:e8, 18:1b:eb:58:c3:90, 00:7f:28:4b:f6:82, f8:e4:fb:b0:35:15, f8:e4:fb:81:37:13, c8:a7:0a:be:a1:b6, c4:10:8a:95:f9:b8, 18:1b:eb:a0:81:28, 00:7f:28:6a:c3:30, c4:10:8a:55:f9:f8, 02:2e:ce:33:e6:2d, c0:8a:de:5f:8b:c8, c0:8a:de:1f:8b:c8, f8:e4:fb:26:1f:df, c4:10:8a:d5:f9:bc, 00:1e:13:0d:e0:21, c0:8a:de:9f:8b:cc, 84:1b:5e:2a:71:80, c0:8a:de:5f:8b:cc, c4:10:8a:d5:f4:88, 00:26:b8:b0:76:f4, 00:7f:28:e6:7e:9a, c4:10:8a:95:e2:98, c4:10:8a:15:e2:98, c4:10:8a:d5:e2:98, c4:10:8a:d5:f9:b8, c0:8a:de:1f:8b:cc, c0:8a:de:df:8b:cc, f8:e4:fb:30:91:5a, c4:10:8a:15:f4:88, c4:10:8a:55:f9:bc, c4:10:8a:95:f9:bc, 18:1b:eb:43:90:13, c4:10:8a:d5:f9:f8, c4:10:8a:15:f9:b8, c4:10:8a:15:f9:f8, 18:1b:eb:51:c6:76, c0:8a:de:df:8b:c8, c4:10:8a:15:f9:bc, 78:61:7c:6a:0a:ce, c4:10:8a:d5:de:f8, 60:02:92:e0:eb:49, 74:a0:2f:4b:0d:f2, 18:1b:eb:1d:d8:bb, ac:86:74:21:e6:73, ac:86:74:21:e6:72, 50:17:ff:b3:4a:d0, 00:7f:28:7a:14:b7, 00:0d:97:04:a5:ee, c4:10:8a:55:de:f8, c4:10:8a:55:f4:88, 64:ae:0c:c4:ee:b1, 00:7f:28:5e:8f:46, c0:8a:de:9f:8b:c8, c4:27:95:5d:2b:46, c4:10:8a:95:f4:88, 00:26:62:b6:17:33, 18:1b:eb:36:bc:2c, c4:10:8a:56:05:f8, c4:10:8a:15:ef:09, c4:10:8a:55:ef:08, c4:10:8a:16:05:f8, c4:10:8a:d6:05:f8, c4:10:8a:96:05:f8, c4:10:8a:d5:f8:98, ac:67:06:de:1f:f8, ac:67:06:1e:1f:f8, 00:12:5f:09:c3:46, ac:67:06:5e:1f:f8, c0:8a:de:5f:50:58, fa:bb:2c:71:fa:91, c0:8a:de:a2:52:cc, c0:8a:de:e2:52:cc, c4:10:8a:55:f9:b8, ac:67:06:9e:1f:f8, c0:8a:de:22:52:cc, c0:8a:de:62:52:cc, c4:10:8a:15:f0:09, c4:10:8a:15:ef:08, 60:02:92:d7:8a:3a, c4:10:8a:95:f9:f8, 00:1e:13:0d:e0:20, c4:10:8a:95:de:f8, 00:7f:28:ba:b0:9a, f8:e4:fb:e8:1f:f7, 00:7f:28:b5:6a:e3, c4:10:8a:55:e2:98, 88:75:56:a1:04:90, 00:7f:28:ef:92:0e, 00:17:c5:dd:63:38, 0c:54:a5:d0:7f:00, 00:24:93:6a:f8:70, 18:1b:eb:19:26:a5, 00:7f:28:d8:bf:8b, 0c:54:a5:d0:7f:01, fc:15:b4:6b:dd:e0, 18:1b:eb:a0:b6:f1, 02:2e:be:f0:05:ec, 00:27:22:ac:a4:08, d0:95:c7:3d:8e:b6, 00:7f:28:3d:99:52, 18:1b:eb:57:ad:3b, c4:10:8a:96:05:08, c4:10:8a:16:02:58, 94:10:3e:92:40:1a, c4:10:8a:56:05:08, c4:10:8a:16:05:08, 96:10:3e:92:40:1b, c4:10:8a:d6:04:c8, c4:10:8a:96:02:58, c4:10:8a:d5:f0:08, 84:38:38:f7:51:89, c4:10:8a:d6:05:08, c4:10:8a:16:04:c8, c4:10:8a:15:f8:79, c4:10:8a:55:f8:78, c4:10:8a:15:f8:78, c4:10:8a:55:f0:08, c4:10:8a:15:f0:08, c4:10:8a:56:02:58, c4:10:8a:96:04:c8, c4:10:8a:15:f3:18, c4:10:8a:d6:02:58, c4:10:8a:95:f0:08, c4:10:8a:d5:f3:18, c4:10:8a:95:f9:98, c4:10:8a:15:f9:99, c4:10:8a:95:f3:18, c4:10:8a:95:f8:78, c4:10:8a:95:ef:08, c4:10:8a:d5:f8:78, c0:bd:d1:60:6a:8f, c4:10:8a:d5:f9:98, 60:02:92:e0:eb:48, c4:10:8a:55:f8:98, c4:10:8a:15:f8:98, c4:10:8a:d5:ef:08, c4:10:8a:55:f9:98, c4:10:8a:55:f3:18, c4:10:8a:56:04:c8
40.44198629927782, -80.00686638057232, 0, -105.8, -92, -94.7, -100.3, -92.7, -91.7, -96.3, -94.3, -88.7, -102.7, -101, -91.7, -91.5, -101.3, -101, -101.3, -107, -107.2, -92, -102.7, -91.8, -96.7, -95.7, -97.3, -96.3, -102.7, -103, -96.3, -94.3, -95.7, -90.3, -105.7, -101.2, -96.7, -90.3, -94.3, -97.2, -99.3, -100.7, -98, -105, -98.3, -104.7, -94.7, -99.3, -92.3, -93.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
40.441789155272744, -80.00665259237432, 0, -110, -72, -110, -110, -110, -72, -110, -84, -87, -74, -110, -92, -92, -110, -110, -110, -110, -110, -93, -64, -92, -110, -110, -110, -73, -74, -74, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -89, -110, -110, -110, -110, -83, -77, -84, -83, -89, -78, -75, -77, -83, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
40.441422141064294, -80.00618240868296, 0, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -81, -77, -83, -72, -83, -91, -83, -96, -84, -88, -80, -87, -83, -72, -63, -89, -90, -89, -80, -84, -80, -43, -91, -87, -63, -67, -67, -85, -72, -72, -83, -43, -85, -84, -92, -84, -80, -87, -92, -70, -90, -92, -83, -91, -90, -89, -71, -74, -77, -90, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
40.44158173952136, -80.0060877012491, 0, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -80, -88, -110, -110, -110, -110, -110, -110, -88, -110, -110, -85, -110, -68, -58, -110, -89, -110, -62, -93, -62, -48, -110, -110, -71, -71, -70, -90, -57, -56, -110, -48, -97, -90, -110, -84, -110, -84, -110, -58, -90, -110, -80, -110, -110, -110, -110, -110, -110, -110, -88, -77, -56, -99, -98, -58, -99, -50, -97, -89, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
40.44192898358585, -80.0066902168426, 0, -110, -45, -110, -92, -69, -45, -110, -73, -45, -110, -110, -62, -62, -66, -110, -67, -77, -75, -68, -85, -110, -83, -78, -110, -45, -86, -110, -110, -74, -83, -68, -110, -110, -83, -68, -74, -110, -89, -91, -110, -110, -110, -110, -75, -85, -69, -110, -110, -87, -110, -110, -110, -110, -110, -91, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -95, -93, -93, -93, -94, -93, -83, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
40.441613533217364, -80.00649505393271, 0, -76, -76, -110, -81, -82, -75, -66, -69, -74, -55, -110, -88, -88, -110, -75, -110, -97, -110, -110, -50, -110, -68, -73, -63, -75, -51, -54, -65, -69, -69, -82, -76, -75, -66, -82, -83, -61, -84, -110, -67, -66, -66, -68, -110, -84, -83, -110, -68, -59, -68, -63, -72, -69, -65, -60, -65, -110, -110, -110, -110, -110, -110, -110, -110, -85, -110, -110, -110, -110, -110, -110, -110, -93, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -88, -110, -110, -110, -85, -110, -110, -110, -93, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -74, -73, -96, -73, -66, -99, -86, -84, -85, -76, -84, -87, -74, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
40.441902453890286, -80.00678896320571, 0, -82, -55, -66, -88, -57, -57, -67, -69, -46, -92, -82, -56, -56, -91, -82, -89, -69, -89, -57, -89, -57, -68, -71, -75, -55, -92, -92, -68, -69, -72, -61, -82, -82, -68, -62, -67, -75, -78, -89, -76, -110, -76, -97, -61, -78, -57, -66, -110, -94, -110, -110, -110, -110, -94, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -95, -93, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -95, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
40.44149146606342, -80.00620267030907, 0, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -86, -110, -110, -89, -110, -110, -110, -110, -110, -110, -110, -110, -91, -82, -81, -110, -110, -91, -110, -79, -91, -110, -110, -110, -110, -110, -110, -110, -70, -110, -110, -63, -110, -72, -55, -110, -90, -91, -66, -110, -66, -53, -110, -110, -110, -70, -72, -70, -67, -66, -110, -51, -84, -82, -93, -64, -62, -65, -110, -55, -91, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -90, -55, -110, -110, -57, -110, -55, -110, -110, -110, -110, -110, -110, -110, -110, -110, -94, -94, -110, -110, -110, -110, -96, -94, -70, -110, -95, -96, -110, -110, -98, -63, -90, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
40.44147526840465, -80.00616528669609, 0, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -95, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -83, -110, -110, -110, -110, -83, -74, -110, -110, -110, -110, -110, -110, -98, -110, -95, -110, -89, -110, -59, -53, -110, -96, -110, -65, -71, -65, -50, -110, -110, -58, -58, -58, -110, -64, -64, -110, -50, -110, -110, -110, -90, -110, -89, -110, -62, -96, -110, -74, -110, -110, -110, -110, -110, -110, -110, -110, -74, -110, -110, -110, -59, -110, -52, -110, -110, -110, -110, -110, -110, -110, -110, -110, -97, -95, -110, -96, -110, -110, -110, -110, -110, -95, -110, -110, -110, -110, -110, -95, -110, -75, -96, -99, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
40.44140844033101, -80.00625489442598, 0, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -86, -81, -110, -110, -110, -110, -110, -110, -110, -110, -89, -82, -110, -73, -63, -110, -87, -93, -71, -90, -70, -52, -110, -83, -70, -70, -70, -82, -69, -69, -83, -52, -88, -90, -110, -82, -80, -83, -110, -70, -87, -110, -110, -110, -110, -110, -110, -78, -110, -110, -110, -92, -47, -110, -110, -73, -110, -47, -93, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -82, -96, -110, -110, -110, -85, -70, -84, -96, -83, -86, -96, -80, -85, -92, -84, -91, -82, -84, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
