# NaN -110
# X, Y, HEADING, ac:7f:3e:eb:3e:4d, 4c:9e:ff:71:17:34, 14:60:80:6b:39:23, 4c:9e:ff:71:17:33, c2:9f:db:67:73:50, c2:9f:db:67:74:84, 06:27:22:ef:a4:61, 6e:9e:ff:71:17:34, 6e:9e:ff:71:17:33, 5e:9e:ff:71:17:34, 92:b2:dc:6e:c1:b8, c2:9f:db:8d:99:44, 5e:9e:ff:71:17:33, 92:b2:dc:6e:c1:b9, c8:3a:35:1b:93:68, a2:b2:dc:6e:c1:b8, a2:b2:dc:6e:c1:b9, c2:9f:db:f7:42:b2, b0:00:b4:7f:b1:ef, c2:9f:db:8d:99:48, c2:9f:db:f7:3e:d7, b0:b2:dc:6e:c1:b9, 24:de:c6:95:43:63, 00:90:d0:da:d4:39, 82:b2:dc:6e:c1:b9, ec:8a:4c:93:15:74, 4e:9e:ff:71:15:2d, c2:9f:db:b1:b0:72, c0:25:06:e7:28:a6, c2:9f:db:b1:b0:cd, c2:9f:db:f7:3e:c7, 5e:9e:ff:71:15:2d, 5e:9e:ff:71:15:2c, 4c:9e:ff:71:15:2c, 88:1f:a1:45:13:49, c2:9f:db:f7:41:6a, 6e:9e:ff:71:15:2c, 6e:9e:ff:71:15:2d, 06:27:22:ef:a3:8d, 6c:c2:17:dd:e9:80, 88:1f:a1:45:1e:ff, dc:9f:db:b2:b0:72, c2:9f:db:8d:99:4a, c2:9f:db:f7:3e:fc, dc:9f:db:b2:b0:eb, 04:18:d6:91:f6:70, c2:9f:db:f7:3e:fe, 50:9f:db:b1:96:0c, 6c:c2:17:dd:f9:00, ac:7f:3e:ea:f5:3d, 00:24:17:21:25:69, 24:a4:3c:04:38:ea, c0:25:06:e7:28:a5, 4e:9e:ff:71:17:34, c2:9f:db:b1:b0:eb, c2:9f:db:8d:99:58, c2:9f:db:8d:99:5e, 26:0a:11:0a:f3:35, c2:9f:db:8d:99:4c, c2:9f:db:8d:99:3b, c2:9f:db:8d:99:52, 10:7b:ef:d3:f5:dc, 4a:d9:e7:47:01:fc, c2:9f:db:67:75:07, 02:7b:ef:d3:f5:dc, 94:a7:b7:29:c7:70, 12:7b:ef:d3:f5:dc, 00:24:17:41:56:6a, c2:9f:db:8d:99:45, b0:00:b4:7f:b1:e0, 4e:9e:ff:71:17:33, cc:7b:35:2a:4a:21, 28:10:7b:f2:8f:42, 88:1f:a1:44:3c:09, 4c:9e:ff:71:15:2d, 00:24:17:32:ea:d9, 08:96:d7:88:1f:b7, 58:6d:8f:82:a6:de, 0a:18:d6:91:f8:d8, 02:18:1a:d8:a1:90, 00:90:d0:4a:6e:37, f8:1a:67:eb:da:73, 06:18:d6:91:f6:71, c2:9f:db:95:c2:a8, 00:14:7f:1e:e7:17, f4:7f:35:85:95:70, c2:9f:db:95:c2:ab, dc:9f:db:b2:b0:cd, c0:8a:de:1e:6a:a8, 04:bd:88:a8:fa:52, 04:bd:88:a9:dd:f2, 04:bd:88:a8:fa:51, 04:bd:88:a9:dd:f3, 04:bd:88:a9:08:33, 04:bd:88:a8:fa:53, 04:bd:88:a9:dd:f0, 04:bd:88:a9:dd:f1, 04:bd:88:a9:08:32, 04:bd:88:a9:08:31, 0a:18:d6:93:01:53, 04:bd:88:a9:08:30, 04:bd:88:a9:dd:40, 04:bd:88:a9:dd:41, 34:64:a9:63:9f:0f, 04:bd:88:a8:fa:50, 00:21:96:38:62:11, 00:21:96:38:62:10, 04:bd:88:a9:dc:f1, 88:1f:a1:43:9a:a5, 04:bd:88:a9:dc:f2, 04:bd:88:a9:dc:f3, 88:1f:a1:43:9a:a4, 04:bd:88:a9:dc:f0, 04:bd:88:a8:f1:32, 04:bd:88:a8:f1:31, 04:bd:88:a8:f1:30, 6c:c2:17:21:78:ae, 04:bd:88:a8:f1:33, 04:bd:88:a8:c8:71, 04:bd:88:a8:c8:72, 04:bd:88:a8:c8:73, 04:bd:88:a8:c8:70, b4:b5:2f:15:9a:e0, 04:bd:88:a8:f2:33, 04:bd:88:a8:f2:32, 04:bd:88:a8:f2:31, 04:bd:88:a8:f2:30, 02:26:06:aa:53:a5, 00:14:7f:c7:17:35, 08:10:76:11:84:8f, 6c:fa:89:17:f5:90, 6c:fa:89:17:f5:91, 38:46:08:d5:ef:8b, 4a:d9:e7:45:ed:77, 94:a7:b7:2a:5a:e1, 94:a7:b7:29:c6:bc, 04:bd:88:a9:dd:53, 02:20:b0:78:fd:73, 82:b2:dc:6e:c1:b8, 0a:18:d6:9d:27:6e, 2c:95:7f:46:3f:51, 54:be:53:8a:c4:e2, 24:a4:3c:04:37:8b, 4e:9e:ff:71:15:2c, c8:3a:35:2f:f3:d8, 04:bd:88:a8:c8:60, 04:bd:88:a8:c8:61, 88:1f:a1:44:3c:08, 04:bd:88:a9:dd:51, 04:bd:88:a9:dd:50, 04:bd:88:a8:f3:f1, 88:1f:a1:45:13:48, ac:7f:3e:eb:3e:4c, 02:27:b7:8e:03:8a, 00:24:a8:ba:9b:90, 90:94:e4:cd:5f:76, c2:9f:db:8d:99:65, 00:14:7f:1e:ec:fd, 82:56:f2:c3:70:67, 02:7b:ef:d3:f2:8e, 32:7b:ef:d3:f2:8d, 90:48:9a:02:3f:85, 32:7b:ef:d3:f5:db, 10:7b:ef:d3:f5:db, 22:7b:ef:d3:f5:db, 22:7b:ef:d3:f5:dc, 10:7b:ef:d3:f2:8e, 10:7b:ef:d3:f2:8d, c8:be:19:0a:b5:38, 22:7b:ef:d3:f2:8e, 22:7b:ef:d3:f2:8d, 00:14:7f:18:e5:21, 08:76:ff:bd:90:25, 12:7b:ef:d3:f5:db, 12:7b:ef:d3:f2:8e, 12:7b:ef:d3:f2:8d, 00:18:0a:d8:a1:90, 08:76:ff:c5:e3:a9, 24:de:c6:95:43:62, b8:a3:86:5e:dd:ea, 08:76:ff:bd:a4:e1, 2a:28:5d:3b:19:3c, 02:29:49:fd:95:f8, 7a:24:af:b7:fb:c8, 04:bd:88:a9:dd:52, 4a:d9:e7:45:ed:79, 08:76:ff:15:ec:77, 00:24:17:31:ac:95, a8:a6:68:db:d7:f3, 04:bd:88:a9:08:21, ec:8a:4c:92:e3:74, 6c:c2:17:21:78:af, b0:b2:dc:6e:c1:b8, 36:23:87:d4:15:f1, 00:22:6b:7c:33:70, 00:21:96:0b:20:1c, 00:21:96:0b:20:1d, 3e:77:e6:88:32:60, 6c:19:8f:e8:d6:5a, 02:71:cc:4d:aa:c6, 00:1c:df:b7:a6:8b, 00:90:d0:e6:24:db, f2:79:59:28:2f:a2, 2a:28:5d:3a:fc:c4, c8:3a:35:45:56:c0, 00:90:4c:91:00:01, 66:56:8a:97:54:bf, c2:9f:db:8d:99:ed, 34:81:c4:a9:90:22, 00:24:c4:1a:a5:e0, 02:27:e7:55:1a:3f, 00:22:3f:4b:35:18, fc:15:b4:3d:66:f1, 04:bd:88:a8:f3:f0, 04:bd:88:a8:f3:f2, 04:bd:88:a8:f3:f3, 00:16:3e:11:97:98, 00:14:7f:b4:e5:83, c8:0e:14:62:fb:ab, c0:11:73:b6:67:87, 04:bd:88:a8:f2:22, 04:bd:88:a8:f2:21, 24:de:c6:95:43:66, 24:de:c6:95:43:65, 24:de:c6:95:43:64, 0e:18:d6:9d:27:6e, 4a:d9:e7:45:ee:ce, 04:bd:88:a9:08:20, c8:b3:73:5c:81:dd, 34:af:2c:96:b6:22, a6:8e:0c:f0:d7:a6, 04:bd:88:a9:dd:e1, e4:8d:8c:7a:fd:19, ac:64:62:81:79:e4, 04:bd:88:a8:c8:62, ac:64:62:81:61:70
35.129834367608645, 33.37201181649092, 270, -87, -70, -66, -70, -66, -69, -87, -71, -68, -71, -77, -58, -69, -78, -83, -75, -79, -61, -80, -69, -74, -79, -62, -77, -80, -58, -90, -89, -87, -85, -76, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
35.129884109662555, 33.37198632004523, 270, -81, -90, -110, -110, -110, -110, -76, -88, -110, -89, -110, -110, -110, -110, -110, -110, -110, -62, -110, -110, -54, -110, -110, -110, -110, -77, -83, -69, -80, -79, -61, -79, -80, -76, -89, -65, -75, -79, -80, -74, -85, -71, -62, -64, -77, -77, -63, -78, -76, -83, -67, -68, -77, -88, -82, -57, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
35.13016275560916, 33.37200564846829, 90, -110, -110, -110, -110, -110, -79, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -80, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -69, -80, -55, -60, -65, -86, -76, -64, -87, -88, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
35.13016275560916, 33.37200564846829, 180, -110, -110, -83, -110, -110, -79, -110, -110, -110, -110, -110, -72, -110, -110, -110, -110, -110, -110, -110, -69, -88, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -61, -81, -61, -62, -63, -110, -64, -64, -110, -88, -85, -86, -63, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
35.1301837275025, 33.371441496063355, 90, -91, -78, -64, -77, -59, -71, -110, -77, -71, -77, -110, -52, -73, -89, -110, -110, -89, -79, -60, -64, -71, -90, -110, -78, -110, -57, -110, -110, -110, -110, -67, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -77, -110, -110, -81, -110, -84, -110, -82, -110, -110, -78, -110, -110, -110, -110, -110, -65, -70, -74, -70, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
35.1298656481484, 33.3719888791101, 270, -78, -85, -110, -110, -110, -82, -82, -86, -84, -86, -110, -72, -82, -88, -110, -110, -88, -65, -88, -110, -55, -110, -110, -110, -110, -76, -76, -76, -76, -76, -52, -77, -78, -110, -110, -73, -81, -77, -84, -72, -84, -110, -65, -57, -110, -110, -62, -82, -80, -85, -60, -110, -110, -85, -86, -57, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -83, -110, -110, -87, -80, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
35.130064449835366, 33.37167850207831, 90, -110, -91, -71, -110, -64, -68, -110, -88, -110, -88, -110, -64, -110, -110, -110, -110, -110, -84, -80, -42, -83, -110, -110, -80, -110, -61, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -75, -69, -73, -110, -110, -61, -110, -110, -110, -110, -55, -110, -110, -78, -63, -110, -110, -85, -66, -75, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
35.13014892479183, 33.37112211000401, 90, -86, -110, -110, -110, -110, -110, -85, -86, -110, -86, -110, -77, -84, -90, -110, -110, -91, -59, -85, -110, -54, -110, -110, -110, -110, -110, -110, -88, -84, -85, -60, -84, -84, -83, -110, -110, -84, -84, -90, -110, -86, -81, -110, -68, -110, -110, -62, -86, -110, -88, -110, -110, -80, -110, -90, -62, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -83, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
35.12983688133016, 33.372028249859795, 270, -86, -70, -62, -110, -66, -69, -87, -68, -67, -67, -110, -52, -68, -77, -83, -110, -77, -59, -76, -64, -67, -110, -62, -110, -110, -58, -90, -110, -87, -85, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
35.13008448628198, 33.37214268741755, 270, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -88, -74, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -63, -110, -45, -62, -75, -110, -110, -66, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -71, -88, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
